date,start,startformat,end,endformat,categorynum,category,details,amount,work,anxiety,attempts,day,times
3/2/2020,17:00:00,03/02/2020 17:00:00,6:00 PM,03/02/2020 18:00:00,1,Chores,Cooking,4,school,2,1,Monday,12:00 AM
3/2/2020,19:00:00,03/02/2020 19:00:00,8:00 PM,03/02/2020 20:00:00,5,ETC,Skincare,4,school,3,1,Monday,1:00 AM
3/3/2020,17:00:00,03/03/2020 17:00:00,6:00 PM,03/03/2020 18:00:00,2,Media Consumption,Youtube,2,school,5,2,Tuesday,2:00 AM
3/3/2020,23:00:00,03/03/2020 23:00:00,12:00 AM,03/03/2020 00:00:00,4,Socializing,Movies with Friends,1,school,1,0,Tuesday,3:00 AM
3/4/2020,12:00:00,03/04/2020 12:00:00,1:00 PM,03/04/2020 13:00:00,3,Social Media,Twitter,1,school,3,0,Wednesday,4:00 AM
3/4/2020,17:00:00,03/04/2020 17:00:00,6:00 PM,03/04/2020 18:00:00,1,Chores,Cooking,2,school,4,2,Wednesday,5:00 AM
3/4/2020,19:00:00,03/04/2020 19:00:00,8:00 PM,03/04/2020 20:00:00,2,Media Consumption,Youtube,2,school,5,1,Wednesday,6:00 AM
3/5/2020,17:00:00,03/05/2020 17:00:00,6:00 PM,03/05/2020 18:00:00,3,Social Media,Online Shopping,2,school,1,1,Thursday,7:00 AM
3/5/2020,21:00:00,03/05/2020 21:00:00,10:00 PM,03/05/2020 22:00:00,2,Media Consumption,Netflix: Love is Blind,2,school,1,0,Thursday,8:00 AM
3/6/2020,17:00:00,03/06/2020 17:00:00,6:00 PM,03/06/2020 18:00:00,3,Social Media,Twitter,2,school,3,0,Friday,9:00 AM
3/6/2020,20:00:00,03/06/2020 20:00:00,9:00 PM,03/06/2020 21:00:00,3,Social Media,Online Shopping,2,work,3,0,Friday,10:00 AM
3/7/2020,10:00:00,03/07/2020 10:00:00,11:00 AM,03/07/2020 11:00:00,4,Socializing,Hang Out,1,school,1,0,Saturday,11:00 AM
3/7/2020,11:00:00,03/07/2020 11:00:00,12:00 PM,03/07/2020 12:00:00,4,Socializing,Hang Out,1,school,1,0,Saturday,12:00 PM
3/7/2020,12:00:00,03/07/2020 12:00:00,1:00 PM,03/07/2020 13:00:00,5,ETC,Shopping,1,school,1,0,Saturday,1:00 PM
3/8/2020,13:00:00,03/08/2020 13:00:00,2:00 PM,03/08/2020 14:00:00,3,Social Media,Tumblr,1,school,2,2,Sunday,2:00 PM
3/8/2020,15:00:00,03/08/2020 15:00:00,4:00 PM,03/08/2020 16:00:00,3,Social Media,Twitter,1,school,2,1,Sunday,3:00 PM
3/8/2020,16:00:00,03/08/2020 16:00:00,5:00 PM,03/08/2020 17:00:00,4,Socializing,Hang Out,1,school,2,3,Sunday,4:00 PM
3/8/2020,0:00:00,03/08/2020 00:00:00,1:00 AM,03/08/2020 01:00:00,2,Media Consumption,Netflix: Love is Blind,1,school,2,2,Sunday,5:00 PM
3/8/2020,2:00:00,03/08/2020 02:00:00,3:00 AM,03/08/2020 03:00:00,4,Socializing,Movies with Friends,1,school,2,2,Sunday,6:00 PM
3/9/2020,16:00:00,03/09/2020 16:00:00,5:00 PM,03/09/2020 17:00:00,1,Chores,Customer Service Problems,1,school,1,2,Monday,7:00 PM
3/9/2020,19:00:00,03/09/2020 19:00:00,8:00 PM,03/09/2020 20:00:00,2,Media Consumption,Netflix: Love is Blind,3,school,5,5,Monday,8:00 PM
3/9/2020,22:00:00,03/09/2020 22:00:00,11:00 PM,03/09/2020 23:00:00,4,Socializing,Movies with Friends,3,school,5,5,Monday,9:00 PM
3/10/2020,17:00:00,03/10/2020 17:00:00,6:00 PM,03/10/2020 18:00:00,6,ETC,Arts and Crafts,2,school,4,4,Tuesday,10:00 PM
3/10/2020,20:00:00,03/10/2020 20:00:00,9:00 PM,03/10/2020 21:00:00,3,Social Media,Twitter,2,school,3,5,Tuesday,11:00 PM
3/11/2020,18:00:00,03/11/2020 18:00:00,7:00 PM,03/11/2020 19:00:00,3,Social Media,Twitter,3,school,2,1,Wednesday,
3/11/2020,19:00:00,03/11/2020 19:00:00,8:00 PM,03/11/2020 20:00:00,2,Media Consumption,Netflix: Crash Landing,3,school,2,3,Wednesday,
3/12/2020,10:00:00,03/12/2020 10:00:00,11:00 AM,03/12/2020 11:00:00,4,Socializing,Hang Out,3,school,2,1,Thursday,
3/12/2020,11:00:00,03/12/2020 11:00:00,12:00 PM,03/12/2020 12:00:00,4,Socializing,Hang Out,3,school,2,1,Thursday,
3/12/2020,19:00:00,03/12/2020 19:00:00,8:00 PM,03/12/2020 20:00:00,1,Chores,Customer Service Problems,3,school,2,2,Thursday,
3/13/2020,10:00:00,03/13/2020 10:00:00,11:00 AM,03/13/2020 11:00:00,5,ETC,Event / Concert,3,school,1,2,Friday,
3/13/2020,11:00:00,03/13/2020 11:00:00,12:00 PM,03/13/2020 12:00:00,5,ETC,Event / Concert,3,school,1,1,Friday,
3/13/2020,12:00:00,03/13/2020 12:00:00,1:00 PM,03/13/2020 13:00:00,4,Socializing,Hang Out,3,school,1,0,Friday,
3/13/2020,13:00:00,03/13/2020 13:00:00,2:00 PM,03/13/2020 14:00:00,4,Socializing,Hang Out,3,school,1,0,Friday,
3/13/2020,14:00:00,03/13/2020 14:00:00,3:00 PM,03/13/2020 15:00:00,4,Socializing,Hang Out,3,school,1,0,Friday,
3/14/2020,11:00:00,03/14/2020 11:00:00,12:00 PM,03/14/2020 12:00:00,3,Social Media,iMessage,3,work,3,2,Saturday,
3/14/2020,12:00:00,03/14/2020 12:00:00,1:00 PM,03/14/2020 13:00:00,3,Social Media,iMessage,3,work,3,3,Saturday,
3/14/2020,14:00:00,03/14/2020 14:00:00,3:00 PM,03/14/2020 15:00:00,3,Social Media,iMessage,3,work,3,4,Saturday,
3/14/2020,15:00:00,03/14/2020 15:00:00,4:00 PM,03/14/2020 16:00:00,4,Socializing,Hang Out,3,work,3,1,Saturday,
3/14/2020,17:00:00,03/14/2020 17:00:00,6:00 PM,03/14/2020 18:00:00,3,Social Media,Reading News,3,work,3,2,Saturday,
3/15/2020,14:00:00,03/15/2020 14:00:00,3:00 PM,03/15/2020 15:00:00,3,Social Media,Online Shopping,3,work,3,3,Sunday,
3/16/2020,12:00:00,03/16/2020 12:00:00,1:00 PM,03/16/2020 13:00:00,3,Social Media,Twitter,3,work,5,3,Monday,
3/16/2020,13:00:00,03/16/2020 13:00:00,2:00 PM,03/16/2020 14:00:00,6,ETC,Arts and Crafts,3,school,5,1,Monday,
3/16/2020,14:00:00,03/16/2020 14:00:00,3:00 PM,03/16/2020 15:00:00,6,ETC,Arts and Crafts,3,school,5,0,Monday,
3/16/2020,15:00:00,03/16/2020 15:00:00,4:00 PM,03/16/2020 16:00:00,6,ETC,Arts and Crafts,3,school,5,1,Monday,
3/16/2020,17:00:00,03/16/2020 17:00:00,6:00 PM,03/16/2020 18:00:00,6,ETC,Arts and Crafts,3,school,5,0,Monday,
3/16/2020,23:00:00,03/16/2020 23:00:00,12:00 AM,03/16/2020 00:00:00,4,Socializing,Movies with Friends,2,school,6,0,Monday,
3/17/2020,11:00:00,03/17/2020 11:00:00,12:00 PM,03/17/2020 12:00:00,3,Social Media,iMessage,2,school,6,1,Tuesday,
3/17/2020,13:00:00,03/17/2020 13:00:00,2:00 PM,03/17/2020 14:00:00,1,Chores,Grocery Shopping,2,school,3,0,Tuesday,
3/17/2020,16:00:00,03/17/2020 16:00:00,5:00 PM,03/17/2020 17:00:00,6,ETC,Arts and Crafts,2,school,4,2,Tuesday,
3/17/2020,17:00:00,03/17/2020 17:00:00,6:00 PM,03/17/2020 18:00:00,1,Chores,Cooking,2,school,5,3,Tuesday,
3/18/2020,15:00:00,03/18/2020 15:00:00,4:00 PM,03/18/2020 16:00:00,4,Socializing,Movies with Friends,1,school,3,2,Wednesday,
3/18/2020,16:00:00,03/18/2020 16:00:00,5:00 PM,03/18/2020 17:00:00,4,Socializing,Movies with Friends,1,school,3,2,Wednesday,
3/18/2020,17:00:00,03/18/2020 17:00:00,6:00 PM,03/18/2020 18:00:00,6,ETC,Arts and Crafts,1,school,3,1,Wednesday,
3/18/2020,18:00:00,03/18/2020 18:00:00,7:00 PM,03/18/2020 19:00:00,6,ETC,Arts and Crafts,1,school,3,0,Wednesday,
3/18/2020,19:00:00,03/18/2020 19:00:00,8:00 PM,03/18/2020 20:00:00,6,ETC,Arts and Crafts,1,school,3,0,Wednesday,
3/18/2020,20:00:00,03/18/2020 20:00:00,9:00 PM,03/18/2020 21:00:00,6,ETC,Arts and Crafts,1,school,3,0,Wednesday,
3/18/2020,20:00:00,03/18/2020 20:00:00,9:00 PM,03/18/2020 21:00:00,4,Socializing,Facetime,1,school,3,0,Wednesday,
3/18/2020,21:00:00,03/18/2020 21:00:00,10:00 PM,03/18/2020 22:00:00,4,Socializing,Facetime,1,school,5,0,Wednesday,
3/18/2020,22:00:00,03/18/2020 22:00:00,11:00 PM,03/18/2020 23:00:00,4,Socializing,Facetime,1,school,5,0,Wednesday,
3/19/2020,16:00:00,03/19/2020 16:00:00,5:00 PM,03/19/2020 17:00:00,5,ETC,Nap,2,school,5,0,Thursday,
3/19/2020,20:00:00,03/19/2020 20:00:00,9:00 PM,03/19/2020 21:00:00,3,Social Media,Twitter,2,school,5,5,Thursday,
3/20/2020,2:00:00,03/20/2020 02:00:00,3:00 AM,03/20/2020 03:00:00,3,Social Media,Twitter,1,school,4,1,Friday,
3/20/2020,15:00:00,03/20/2020 15:00:00,4:00 PM,03/20/2020 16:00:00,3,Social Media,Online Shopping,1,school,4,4,Friday,
3/20/2020,18:00:00,03/20/2020 18:00:00,7:00 PM,03/20/2020 19:00:00,6,ETC,Photoshop,1,school,4,2,Friday,
3/20/2020,19:00:00,03/20/2020 19:00:00,8:00 PM,03/20/2020 20:00:00,6,ETC,Photoshop,1,school,4,2,Friday,
3/20/2020,21:00:00,03/20/2020 21:00:00,10:00 PM,03/20/2020 22:00:00,2,Media Consumption,Vlive,1,school,4,6,Friday,
3/21/2020,10:00:00,03/21/2020 10:00:00,11:00 AM,03/21/2020 11:00:00,3,Social Media,Twitter,1,school,3,2,Saturday,
3/21/2020,15:00:00,03/21/2020 15:00:00,4:00 PM,03/21/2020 16:00:00,4,Socializing,Movies with Friends,1,school,3,1,Saturday,
3/21/2020,16:00:00,03/21/2020 16:00:00,5:00 PM,03/21/2020 17:00:00,4,Socializing,Movies with Friends,1,school,3,1,Saturday,
3/21/2020,17:00:00,03/21/2020 17:00:00,6:00 PM,03/21/2020 18:00:00,4,Socializing,Movies with Friends,1,school,3,2,Saturday,
3/21/2020,18:00:00,03/21/2020 18:00:00,7:00 PM,03/21/2020 19:00:00,4,Socializing,Movies with Friends,1,school,3,1,Saturday,
3/21/2020,23:00:00,03/21/2020 23:00:00,12:00 AM,03/21/2020 00:00:00,5,ETC,Photoshop,1,school,3,3,Saturday,
3/22/2020,0:00:00,03/22/2020 00:00:00,1:00 AM,03/22/2020 01:00:00,5,ETC,Photoshop,1,school,5,1,Sunday,
3/22/2020,2:00:00,03/22/2020 02:00:00,3:00 AM,03/22/2020 03:00:00,5,ETC,Photoshop,1,school,5,2,Sunday,
3/22/2020,15:00:00,03/22/2020 15:00:00,4:00 PM,03/22/2020 16:00:00,5,ETC,Photoshop,1,school,5,1,Sunday,
3/22/2020,20:00:00,03/22/2020 20:00:00,9:00 PM,03/22/2020 21:00:00,3,Social Media,Twitter,1,school,5,7,Sunday,
3/23/2020,13:00:00,03/23/2020 13:00:00,2:00 PM,03/23/2020 14:00:00,3,Social Media,Twitter,1,school,5,4,Monday,
3/23/2020,16:00:00,03/23/2020 16:00:00,5:00 PM,03/23/2020 17:00:00,4,Socializing,Facetime,2,school,5,2,Monday,
3/23/2020,18:00:00,03/23/2020 18:00:00,7:00 PM,03/23/2020 19:00:00,4,Socializing,Facetime,2,school,5,5,Monday,
3/23/2020,21:00:00,03/23/2020 21:00:00,10:00 PM,03/23/2020 22:00:00,4,Socializing,Facetime,2,school,5,4,Monday,
3/23/2020,22:00:00,03/23/2020 22:00:00,11:00 PM,03/23/2020 23:00:00,4,Socializing,Facetime,2,school,5,5,Monday,
3/23/2020,23:00:00,03/23/2020 23:00:00,12:00 AM,03/23/2020 00:00:00,4,Socializing,Facetime,2,school,5,2,Monday,
3/24/2020,8:00:00,03/24/2020 08:00:00,9:00 AM,03/24/2020 09:00:00,3,Social Media,Twitter,2,school,5,2,Tuesday,
3/24/2020,9:00:00,03/24/2020 09:00:00,10:00 AM,03/24/2020 10:00:00,3,Social Media,iMessage,2,school,5,3,Tuesday,
3/24/2020,16:00:00,03/24/2020 16:00:00,5:00 PM,03/24/2020 17:00:00,3,Social Media,Twitter,2,school,5,5,Tuesday,
3/25/2020,16:00:00,03/25/2020 16:00:00,5:00 PM,03/25/2020 17:00:00,3,Social Media,Twitter,2,school,5,5,Wednesday,
3/25/2020,19:00:00,03/25/2020 19:00:00,8:00 PM,03/25/2020 20:00:00,4,Socializing,Facetime,2,school,5,2,Wednesday,
3/25/2020,20:00:00,03/25/2020 20:00:00,9:00 PM,03/25/2020 21:00:00,4,Socializing,Facetime,2,school,5,2,Wednesday,
3/25/2020,21:00:00,03/25/2020 21:00:00,10:00 PM,03/25/2020 22:00:00,4,Socializing,Facetime,2,school,6,3,Wednesday,
3/25/2020,22:00:00,03/25/2020 22:00:00,11:00 PM,03/25/2020 23:00:00,4,Socializing,Facetime,2,school,6,4,Wednesday,
3/25/2020,23:00:00,03/25/2020 23:00:00,12:00 AM,03/25/2020 00:00:00,4,Socializing,Facetime,2,school,6,5,Wednesday,
3/26/2020,13:00:00,03/26/2020 13:00:00,2:00 PM,03/26/2020 14:00:00,2,Media Consumption,Youtube,1,school,4,1,Thursday,
3/26/2020,17:00:00,03/26/2020 17:00:00,6:00 PM,03/26/2020 18:00:00,3,Social Media,Twitter,1,school,4,3,Thursday,
3/26/2020,18:00:00,03/26/2020 18:00:00,7:00 PM,03/26/2020 19:00:00,6,ETC,Photoshop,1,school,4,0,Thursday,
3/26/2020,19:00:00,03/26/2020 19:00:00,8:00 PM,03/26/2020 20:00:00,6,ETC,Photoshop,1,school,4,0,Thursday,
